,publishedAt,title,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,duration,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
63,2026-03-19T19:00:51Z,السليط الإخباري 2026 | نتنياهو حي أم ميت؟ وما الحل لمضيق هرمز؟,"['Iran', 'Trump', 'أبوظبي', 'أحمد الخالدي', 'إيران', 'البحرين', 'الحرب الإيرانية الأمريكية', 'الحرب الإيرانية الإسرائيلية', 'الخليج العربي', 'السعودية', 'العراق', 'الكويت', 'ترامب', 'تل أبيب', 'جاسم العلي', 'جنوب لبنان', 'حزب الله', 'خامنئي', 'دبي', 'ذكاء اصطناعي', 'راس لفان', 'صواريخ', 'على لاريجاني', 'قصف الخليج', 'قطر', 'مروة الحاراتي', 'مصادر الطاقة', 'مصافي الغاز', 'مضيق هرمز', 'مقتل نتنياهو', 'منشاءات النفط', 'موت نتنياهو', 'نيكولاس خوري', 'هجوم إيراني', 'وزير الحرب الأمريكي']",24,none,ar,ar,PT16M59S,hd,false,True,{},rectangular,268858,10032,0,431
64,2026-03-19T11:44:42Z,عيد مبارك,,24,none,ar,ar,PT18S,hd,false,False,{},rectangular,3649826,36923,0,743
65,2026-03-18T13:01:22Z,هل مضيق هرمز فعلاً مغلق؟,,24,none,ar,ar,PT31S,hd,false,False,{},rectangular,728881,17428,0,249
66,2026-03-17T18:00:10Z,المُخبر الاقتصادي+ | كيف استخفت أمريكا بإيران فوقعت في فخ مضيق هرمز وتطلب الآن المساعدة؟,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT23M27S,hd,false,True,{},rectangular,1139133,23000,0,1055
67,2026-03-17T13:30:01Z,هل نتنياهو ما زال على قيد الحياة؟,,24,none,ar,ar,PT1M6S,hd,false,False,{},rectangular,777568,19608,0,426
68,2026-03-16T18:00:47Z,الجهبذ | هل تجرّ أمريكا بريطانيا لحرب جديدة؟,['Politics'],24,none,ar,ar,PT18M59S,hd,false,True,{},rectangular,122749,3171,0,102
69,2026-03-16T15:00:02Z,الصين تستفيد من الحرب؟,,24,none,ar,ar,PT2M26S,hd,false,False,{},rectangular,837121,23750,0,439
70,2026-03-15T15:00:01Z,برميل النفط إلى 150$؟,,24,none,ar,ar,PT2M4S,hd,false,False,{},rectangular,321893,11822,0,277
71,2026-03-15T14:00:01Z,مجزرة في النبطية,,24,none,ar,ar,PT1M12S,hd,false,False,{},rectangular,630106,27217,0,971
72,2026-03-14T08:06:27Z,المُخبر الاقتصادي+ | كيف تفقد أمريكا السيطرة على حربها المجنونة مع إيران؟,['Economy'],24,none,ar,ar,PT25M25S,hd,false,True,{},rectangular,1046603,26024,0,1360
73,2026-03-13T18:00:30Z,كيف احتُلّت إيران ثم أُسقطت حكومتها؟,['Politics'],24,none,ar,ar,PT13M41S,hd,false,True,{},rectangular,131730,3973,0,255
74,2026-03-12T19:00:11Z,السليط الإخباري 2026 | هل انتهت الحرب في إيران؟ أم بدأت؟,"['أبوظبي', 'أحمد الخالدي', 'إربيل', 'إغلاق مضيق هرمز', 'إيران', 'الأردن', 'البحرين', 'الحرب الأمريكية الإسرائيلية على إيران', 'الحرب على إيران', 'الحرس الثوري', 'الدوحة', 'السعودية', 'السليط الإخباري', 'الضاحية الجنوبية', 'العراق', 'القدس', 'الكويت', 'المنامة', 'باليستي', 'ترامب', 'تل أبيب', 'جاسم العلي', 'جنوب لبنان', 'حزب الله', 'حيفا', 'دبي', 'رشقة صاروخية', 'رضا بهلوي', 'سقوط صاروخ', 'صواريخ اعتراضية', 'عباس عراقجي', 'قاعدة أمريكية', 'قطر', 'كريات شمونة', 'لبنان', 'مروة الحاراتي', 'مضيق هرمز', 'نتنياهو', 'نيكولاس خوري', 'هجمات إيران على الخليج']",24,none,ar,ar,PT14M27S,hd,false,True,{},rectangular,247062,10119,0,446
75,2026-03-11T16:00:02Z,أمريكا في ورطة؟,,24,none,ar,ar,PT1M44S,hd,false,False,{},rectangular,504862,17383,0,270
